ID	Genome_coverage	Sequencing_depth	Lineage	Sublineage	BioPrject
DRR034340	 0.976338 	 52.9203	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034341	 0.971547 	 36.7679	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034342	 0.981057 	 40.2434	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034343	 0.977891 	 62.5146	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034344	 0.982537 	 48.4552	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034345	 0.976601 	 42.5142	LINEAGE4	lineage4.5	PRJDB3875
DRR034346	 0.970721 	 35.7675	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034347	 0.976798 	 48.5773	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034348	 0.978924 	 54.5252	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034349	 0.976981 	 52.9798	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034350	 0.976873 	 49.0406	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034351	 0.976313 	 53.4283	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034352	 0.971843 	 27.5337	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034353	 0.972666 	 45.7558	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034354	 0.974705 	 41.4877	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034355	 0.980524 	 42.2497	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034356	 0.98087 	 44.2289	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034357	 0.971362 	 35.5816	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034358	 0.977797 	 64.6528	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034359	 0.975868 	 52.3218	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034360	 0.974058 	 42.8686	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034361	 0.976064 	 58.9323	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034362	 0.97743 	 56.2555	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034363	 0.972097 	 46.0849	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034364	 0.977611 	 46.0333	LINEAGE4	lineage4.3.3	PRJDB3875
DRR034365	 0.978466 	 50.5306	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034366	 0.974195 	 51.0561	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034367	 0.97452 	 46.3611	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034368	 0.976121 	 44.1276	LINEAGE3	lineage3.x.x.x	PRJDB3875
